stateAbbr,placeName,population2010,noHealthInsurance,highBP,asthma,smoker,noLeisureExercise,obeese,sleepDeprived
FL,Port St. Lucie,164603,23.2,30.7,8.7,20.9,30.4,31.3,37.6
FL,St. Petersburg,244769,20,32,9,20.3,27.2,29.7,40.3
FL,Sunrise,84439,24.6,32.3,8.9,17.2,30.6,27,38.5
FL,Tallahassee,181376,18.4,32.2,8.9,18.3,26.8,33.6,34.2
FL,Tampa,335709,23.6,34.2,8.8,19.7,29.8,31.2,35.5
FL,West Palm Beach,99919,24.7,32.2,8.7,19.9,31.7,27.9,41.3
GA,Albany,77434,26.5,42.2,11.1,24.3,40.5,41.9,47.5
GA,Athens,115452,21.8,34.9,9.5,20,34.3,33.5,38.6
GA,Atlanta,420003,19.5,34.1,9.3,16.8,29.5,31.1,38.3
GA,Augusta,195844,23.9,38,10.2,22.4,36.4,38.5,42.8
GA,Columbus,189885,22.6,36.5,9.9,21.8,35.2,38.2,41.6
GA,Johns Creek,76728,13.1,23.5,7.1,10.6,20.5,19.3,32.1
GA,Macon,91351,27.2,41.2,11.2,24.9,41.8,42.2,44.1
GA,Roswell,88346,17.6,25.2,7.8,13,23.1,23.7,32.2
GA,Sandy Springs,93853,16.2,25.9,8,12.6,22.8,24.1,32.8
GA,Savannah,136286,22.6,38.8,9.9,21.2,35.2,37.8,41.9
GA,Warner Robins,66588,21.7,35.3,9.8,20.6,35.2,38.6,38.7
HI,Honolulu,953207,9.3,28.8,8.9,13.9,23.4,23.8,47.4
ID,Boise City,205671,14.3,27.7,9.3,14,20.7,27.9,27.8
ID,Meridian,75092,13.8,26.9,9.3,13.8,20.1,27.2,27.5
ID,Nampa,81557,21.2,30,10.2,17.5,29,36.5,32.9
IL,Arlington Heights,75101,9.2,24.2,7.9,13.2,18.8,23.6,29.9
IL,Aurora,197899,19.1,30.9,9.1,16.9,25.9,32.5,34
IL,Bloomington,76610,10.3,28.2,9.2,16.3,23,32.4,33.1
IL,Bolingbrook,73366,13.7,32.6,9,15.1,23.9,32.9,33.6
IL,Champaign,81055,11,31.9,9,16.4,24.9,36.5,30.6
IL,Chicago,2695598,17.6,32.8,9.1,17.6,28.2,33,35.9
IL,Cicero,83891,32.2,31.7,8.4,19.2,35.4,35.7,35.6
IL,Decatur,76122,14,35,10.7,23.1,29.8,38.8,35.5
IL,Elgin,108188,18.8,29.4,8.8,17,25.5,30.9,33.9
IL,Evanston,74486,10,26.9,8.3,12.9,20,26.2,31.4
IL,Joliet,147433,16.8,34.3,9.8,19,27.6,36.7,34.2
IL,Naperville,141853,7.7,26.8,8,11.4,16.8,26.1,29.5
IL,Palatine,68557,12,25.2,7.9,14,20.8,24.9,30.8
IL,Peoria,115007,13.3,34.4,10.3,20.4,27.6,37.3,34.2
IL,Rockford,152871,16.9,35,10.4,22.8,30.1,35.7,39.3
IL,Schaumburg,74227,10.3,25.1,7.7,13.7,20.5,23.1,31.4
IL,Springfield,116250,11.9,32.5,10.1,20.3,25.8,34.9,34.7
IL,Waukegan,89078,23.9,35.4,9.7,20.2,31.6,35.4,37.5
IN,Bloomington,80405,11.4,31.8,9.6,20.5,28,30.2,33.8
IN,Carmel,79191,7.3,26.6,8.5,12.1,20.4,25.5,29.3
IN,Evansville,117429,14.3,35.8,10.8,27,34.6,36.6,36.9
IN,Fishers,76794,7.5,26.9,8.7,12.6,20.6,26.3,29.7
IN,Fort Wayne,253691,14.1,33.5,10.6,23.4,28.8,35.3,32.9
IN,Gary,80294,20,47.3,12.6,27.9,40.9,49.1,48.8
IN,Hammond,80830,20.7,36.2,10.2,23.7,35.2,39.4,41.1
IN,Indianapolis,820445,15,35.4,11.2,21.9,30,35.8,36.3
